symbol,name,underlyingIndexName,legacyAssetClass,assetClass,legacySectorCode,sectorCode,region,stockSectorCode,rotationSource,marketSource,peerGroup,basis,confidence
261070,TIGER 코스닥150바이오테크,코스닥 150 헬스케어,equity,equity,BIO,BIO,KR,BIO,domestic_stock_sector,domestic_stock_sector,KR:BIO,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261110,TIGER 미국달러선물레버리지,미국달러선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261120,TIGER 미국달러선물인버스2X,미국달러선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261140,TIGER 우선주,코스피 우선주 지수,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261220,KODEX WTI원유선물(H),S&P GSCI Crude Oil Index ER,commodity_fx,commodity_fx,MARKET_IDX,COMMODITY_FX,US,,excluded_nonplain_equity,not_researched,US:COMMODITY_FX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261240,KODEX 미국달러선물,미국달러선물지수,commodity_fx,commodity_fx,MARKET_IDX,COMMODITY_FX,US,,excluded_nonplain_equity,not_researched,US:COMMODITY_FX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261250,KODEX 미국달러선물레버리지,미국달러선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261260,KODEX 미국달러선물인버스2X,미국달러선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
261270,KODEX 미국달러선물인버스,미국달러선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
266160,RISE 고배당,FnGuide 고배당포커스 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
