symbol,sectorCode,mapMethod,confidenceGrade
RAYA,ENERGY,RULE,B
RDNW,TELCO_MEDIA,ML_NAME_IMPUTED,C3
RDNT,SEMI,ML_NAME_IMPUTED,C3
QVCG,TELCO_MEDIA,ML_NAME_IMPUTED,C3
QNTM,BIO,RULE,B
QURE,SOFTWARE,ML_NAME_IMPUTED,C2
RMR,TELCO_MEDIA,ML_NAME_IMPUTED,C2
RLMD,BIO,RULE,B
RCKY,CONSUMER,RULE,B
RFAI,FINANCE,RULE,B
RIGL,BIO,RULE,B
RCKT,BIO,RULE,B
RNA,BIO,RULE,B
REAX,FINANCE,ML_NAME_IMPUTED,C2
QTRX,BATTERY,ML_NAME_IMPUTED,C2
REBN,CONSUMER,RULE,B
RBKB,FINANCE,RULE,B
RAIN,CHEM_STEEL,RULE,B
RAIL,CONSTRUCT,RULE,B
REAL,CONSUMER,ML_NAME_IMPUTED,C3
RGEN,CHEM_STEEL,ML_NAME_IMPUTED,C3
QUCY,SOFTWARE,RULE,B
RCMT,IT_HW,RULE,B
RBNE,ENERGY,RULE,B
RMCO,CHEM_STEEL,RULE,B
RECT,SEMI,ML_NAME_IMPUTED,C3
RETO,IT_HW,RULE,B
RBCAA,FINANCE,RULE,B
RLAY,BIO,RULE,B
QNT,SOFTWARE,ML_NAME_IMPUTED,C2
RMTI,HEALTH_SVC,RULE,B
RMBI,FINANCE,RULE,B
RMSG,FINANCE,ML_NAME_IMPUTED,C3
RMBS,SEMI,EXPLICIT,A
RDAC,FINANCE,RULE,B
RCON,IT_HW,RULE,B
QTTB,BIO,RULE,B
RMCF,FINANCE,ML_NAME_IMPUTED,C3
RDAG,FINANCE,RULE,B
REKR,IT_HW,RULE,B
ROIV,BIO,ML_NAME_IMPUTED,C1
SDA,IT_HW,RULE,B
RRR,CONSUMER,RULE,B
SCOR,SOFTWARE,ML_NAME_IMPUTED,C3
SHIP,SEMI,ML_NAME_IMPUTED,C3
RNXT,SOFTWARE,ML_NAME_IMPUTED,C3
SHIM,CONSTRUCT,ML_NAME_IMPUTED,C3
SEAT,SOFTWARE,ML_NAME_IMPUTED,C2
SERA,SOFTWARE,ML_NAME_IMPUTED,C2
SBLK,CONSTRUCT,EXPLICIT,A
SERV,SHIP_DEF,RULE,B
SCNX,HEALTH_SVC,ML_NAME_IMPUTED,C3
RR,SHIP_DEF,RULE,B
