symbol,sectorCode,mapMethod,confidenceGrade
NSAI,FINANCE,RULE,B
MYPS,TELCO_MEDIA,RULE,B
NTCL,IT_HW,RULE,B
NTCT,IT_HW,RULE,B
NMFC,FINANCE,RULE,B
NSPR,SEMI,ML_NAME_IMPUTED,C3
NDSN,SHIP_DEF,EXPLICIT,A
NEUP,BIO,RULE,B
NAMM,CHEM_STEEL,RULE,B
NAMS,BIO,RULE,B
MYRG,CONSUMER,ML_NAME_IMPUTED,C3
MZTI,SHIP_DEF,ML_NAME_IMPUTED,C3
NEXM,CHEM_STEEL,RULE,B
NEXN,IT_HW,ML_NAME_IMPUTED,C3
NPT,CONSUMER,ML_NAME_IMPUTED,C3
NEXR,IT_HW,RULE,B
NEXT,BATTERY,ML_NAME_IMPUTED,C3
NBBK,FINANCE,RULE,B
MYSE,SOFTWARE,RULE,B
NKTR,BIO,RULE,B
NEWT,SEMI,ML_NAME_IMPUTED,C3
NSSC,IT_HW,RULE,B
NEGG,CHEM_STEEL,ML_NAME_IMPUTED,C3
NKSH,FINANCE,RULE,B
NRC,HEALTH_SVC,RULE,B
NCEW,CONSTRUCT,RULE,B
NBTB,FINANCE,RULE,B
NGNE,CONSUMER,ML_NAME_IMPUTED,C3
NTGR,AUTO,ML_NAME_IMPUTED,C3
NBN,FINANCE,RULE,B
NSTS,FINANCE,RULE,B
NKTX,SEMI,ML_NAME_IMPUTED,C3
NOMA,SOFTWARE,ML_NAME_IMPUTED,C3
NCI,TELCO_MEDIA,ML_NAME_IMPUTED,C3
MYSZ,SEMI,ML_NAME_IMPUTED,C3
NCEL,CHEM_STEEL,ML_NAME_IMPUTED,C3
NMIH,SOFTWARE,ML_NAME_IMPUTED,C3
NCO,FINANCE,ML_NAME_IMPUTED,C1
NRSN,BIO,RULE,B
NCT,SOFTWARE,ML_NAME_IMPUTED,C3
NATH,CONSUMER,ML_NAME_IMPUTED,C3
NTIC,IT_HW,RULE,B
NATR,AUTO,ML_NAME_IMPUTED,C3
MYFW,FINANCE,RULE,B
NFLX,TELCO_MEDIA,EXPLICIT,A
NTHI,IT_HW,RULE,B
NRDS,SOFTWARE,ML_NAME_IMPUTED,C2
