symbol,start_date,end_date
091700,2016-08-12,2025-12-11
091990,2017-12-15,2023-12-14
092040,2016-08-12,2023-12-14
092190,2020-12-11,2022-12-08
092730,2018-12-14,2021-06-10
094360,2024-06-14,2025-12-11
095340,2022-12-09,2026-09-11
095500,2023-06-09,2025-12-11
095610,2017-06-09,2026-09-11
095660,2016-08-12,2018-06-14
095660,2023-12-15,2026-09-11
095700,2016-08-12,2024-06-13
096530,2016-08-12,2026-09-11
098460,2016-08-12,2026-09-11
099190,2016-08-12,2018-12-13
099190,2023-12-15,2025-12-11
100090,2021-06-11,2023-04-18
100120,2016-08-12,2019-12-12
100130,2016-08-12,2019-06-13
101360,2024-06-24,2026-06-11
101490,2020-12-11,2026-09-11
101730,2025-06-13,2026-09-11
102710,2016-08-12,2018-12-13
102710,2020-04-22,2023-06-08
102940,2016-08-12,2019-08-20
104480,2021-12-10,2023-12-14
104830,2016-08-12,2023-12-14
108230,2016-08-12,2022-06-09
108320,2016-08-12,2022-11-02
108490,2025-12-12,2026-09-11
108790,2016-08-12,2019-06-13
108860,2023-12-15,2026-03-12
109610,2016-12-09,2018-06-14
110790,2022-06-10,2023-06-08
112040,2016-08-12,2026-09-11
114570,2016-08-12,2018-06-14
114840,2024-12-13,2025-12-11
115450,2016-08-12,2021-12-09
115450,2024-09-25,2025-12-11
115960,2016-12-09,2020-12-10
118990,2023-12-15,2025-06-12
119610,2016-08-12,2019-06-13
119860,2020-03-27,2022-06-09
119860,2022-11-28,2024-08-14
121440,2016-08-12,2019-06-13
121600,2022-06-10,2026-09-11
121800,2022-06-10,2022-08-19
122870,2016-08-12,2026-09-11
123100,2018-02-09,2018-06-14
130960,2016-08-12,2018-06-27
131290,2021-06-11,2026-09-11
131370,2020-12-11,2022-12-08
131970,2021-06-11,2026-09-11
136480,2016-08-12,2018-06-14
137400,2020-12-11,2026-09-11
138080,2019-12-13,2022-06-09
140410,2018-12-14,2026-03-19
140860,2021-06-11,2026-09-11
141080,2016-12-09,2026-09-11
144510,2018-06-15,2025-06-12
145020,2016-08-12,2026-09-11
151910,2021-12-10,2023-03-27
160190,2025-06-13,2026-03-25
161580,2025-06-13,2026-09-11
166090,2021-06-11,2026-09-11
168330,2016-08-12,2019-03-21
171090,2024-12-13,2026-09-11
174900,2018-06-28,2018-12-13
